WellIndex,Por,LogPerm,AI,Brittle,TOC,VR,Production
148,9.81,0.26,3.59,79.18,0.80,2.59,187.5932287
149,9.97,1.04,3.18,54.66,0.23,1.78,1255.203934
150,16.35,1.39,3.25,49.33,1.24,2.37,3561.992347
151,15.70,1.56,2.17,66.75,1.03,1.68,1692.298469
152,17.06,1.51,2.92,35.49,1.32,2.08,2457.93636
153,14.20,1.21,3.92,51.71,0.83,2.41,2514.658931
154,15.87,1.43,2.72,59.24,1.27,2.09,2748.229444
155,6.48,0.39,3.68,81.87,-0.14,1.87,75.21518841
156,14.24,1.51,3.47,43.31,0.71,2.21,2299.227895
157,13.31,1.17,2.53,67.55,0.67,1.59,1089.161058
158,17.20,1.87,2.75,44.12,1.18,2.00,3749.779943
159,10.51,1.27,3.48,74.89,0.28,1.92,349.2156477
160,17.96,1.82,2.40,44.88,1.71,2.15,4417.313562
161,19.86,1.92,2.14,77.04,0.40,1.25,1057.261254
162,14.90,0.88,2.59,36.20,1.65,2.14,1901.478612
163,17.65,2.06,2.63,62.70,1.40,2.02,3060.551966
164,17.73,1.62,2.54,40.61,1.79,2.09,3711.825183
165,19.16,1.87,1.76,35.96,1.53,1.51,3514.686822
166,17.49,1.66,2.78,52.07,1.42,2.15,4235.93405
167,16.18,1.77,2.65,35.03,1.04,1.61,2075.186478
168,9.79,0.91,3.24,50.67,0.55,1.92,1309.706537
169,14.78,1.18,2.37,61.85,1.40,1.94,2077.485573
170,22.14,2.37,2.21,37.26,1.88,2.16,6047.418084
171,14.76,1.21,2.35,50.28,1.51,1.92,2877.826882
172,16.30,1.19,2.12,84.58,1.94,2.55,240.4175328
173,14.60,1.17,1.87,42.98,1.28,1.51,2469.385807
174,17.52,1.35,3.28,40.74,1.23,2.29,3453.41305
175,17.92,1.94,2.81,39.43,1.70,2.08,3627.386253
176,12.54,1.14,3.93,54.03,0.24,2.16,1841.531373
177,15.52,1.01,3.71,70.25,0.94,2.46,1199.92321
178,12.89,1.26,3.21,56.19,0.95,2.11,1942.217302
179,13.86,1.25,2.16,62.95,1.05,1.92,1670.35701
180,16.90,1.88,3.19,53.89,1.24,2.23,3776.938
181,14.18,1.18,3.27,74.31,0.89,2.14,656.7312917
182,11.62,1.29,3.56,51.21,0.33,1.95,1687.082897
183,14.27,1.70,2.58,47.10,0.81,1.57,2540.090807
184,15.67,1.32,3.17,53.23,0.84,1.92,3062.554203
185,18.36,1.75,2.18,41.26,1.82,1.97,4199.645598
186,15.63,1.48,3.42,38.13,1.13,2.04,2316.175338
187,15.47,1.67,2.35,74.76,0.94,1.74,763.5762415
188,8.80,0.95,3.67,87.54,0.36,2.28,44.86173807
189,16.35,1.67,3.20,44.50,0.84,2.01,3258.499533
190,17.40,1.65,1.88,27.97,0.46,0.90,1301.371449
191,17.19,1.70,2.61,35.62,1.17,1.91,2512.142529
192,15.94,1.64,2.14,42.74,0.63,1.03,2871.031676
193,10.04,0.74,3.17,74.96,0.98,2.09,335.5072968
194,11.78,1.21,3.30,36.60,0.75,2.01,1182.1746
195,14.57,1.41,3.38,58.86,0.36,1.88,2171.845022
196,13.53,1.16,2.67,34.50,0.71,1.32,1316.344579
197,12.22,1.36,3.09,71.08,0.86,2.03,695.3550023
198,12.86,1.31,3.20,50.36,0.04,1.63,1980.419721
199,14.69,1.36,2.24,25.28,0.68,1.25,667.1649929
200,13.79,1.66,3.71,62.70,0.75,2.45,1663.048306
201,13.71,1.20,2.71,49.11,0.92,1.93,2371.173406
202,11.61,1.21,3.89,52.33,0.34,2.03,1666.69035
203,13.44,1.32,2.87,36.37,0.27,1.36,1431.226494
204,13.43,1.13,3.44,51.75,0.95,2.00,2266.329436
205,11.38,1.16,2.26,45.25,0.45,1.48,1561.547308
206,16.65,1.74,2.74,47.34,1.14,1.77,3670.540401
207,15.82,1.22,1.81,48.74,0.87,1.29,3190.473373
208,19.08,1.84,2.73,49.56,1.38,2.24,5385.471703
209,13.37,0.92,2.69,42.26,1.02,1.74,1970.96811
210,11.88,0.89,3.05,43.18,0.53,1.54,1584.40259
211,10.29,1.05,3.60,41.11,-0.23,1.60,1114.521963
212,12.57,1.31,3.64,48.90,0.90,1.99,2014.695492
213,17.06,1.46,2.69,27.81,2.09,2.23,1363.090297
214,9.66,0.96,3.49,83.63,0.36,2.09,95.73161459
215,14.38,1.38,2.95,60.16,1.49,2.28,2159.999174
216,11.44,1.06,2.84,44.67,1.10,2.06,1623.866681
217,9.78,0.57,3.72,77.40,0.16,2.31,226.8756334
218,14.95,1.49,2.59,47.49,1.31,1.94,2899.042852
219,9.60,0.40,3.33,52.08,0.89,2.10,1274.832382
220,20.83,2.19,2.57,82.77,1.96,2.43,625.4011115
221,14.00,1.48,2.59,58.35,0.95,1.67,2134.004514
222,14.27,1.63,3.11,74.31,0.65,1.98,661.2821043
223,16.53,1.39,2.52,28.62,1.13,1.60,1276.611559
224,17.62,1.69,2.19,33.65,1.47,1.79,2377.95034
225,21.89,1.66,1.86,39.58,1.69,2.03,6385.367076
226,13.34,0.83,2.56,29.32,1.12,1.76,850.6860597
227,16.29,1.60,3.20,38.23,0.87,1.86,2520.03697
228,13.44,1.20,2.98,86.55,0.84,2.32,107.1789675
229,17.21,1.41,2.05,55.24,1.88,2.15,3965.301822
230,16.89,1.52,2.61,44.91,1.63,1.96,3746.541679
231,15.56,1.99,2.78,49.86,1.26,1.89,3241.932141
232,17.33,1.94,2.58,69.48,1.70,2.10,1807.059354
233,17.68,2.38,3.71,64.66,1.20,2.56,2706.939706
234,15.46,1.37,2.91,52.28,1.14,2.13,3077.843796
235,16.64,1.61,2.97,47.64,1.22,2.07,3686.358119
236,11.75,1.08,3.48,42.64,0.86,2.26,1573.669557
237,12.59,1.08,3.36,29.74,0.42,1.68,761.6109414
238,14.78,1.55,3.89,63.01,0.65,2.51,1862.921224
239,13.74,1.90,3.42,61.13,0.72,2.10,1807.722558
240,12.24,1.25,3.44,55.10,0.80,2.31,1801.423645
241,13.22,1.35,2.28,54.15,1.23,1.88,2187.046818
242,15.98,1.34,3.35,28.91,1.38,2.31,1233.205123
243,14.64,1.69,2.99,72.94,0.82,2.10,820.1150495
244,11.81,0.80,3.09,55.35,0.62,1.91,1642.41151
245,9.99,0.95,2.98,44.30,0.89,1.80,1284.692443
246,15.71,1.71,3.01,40.42,0.60,1.64,2540.858746
247,15.72,1.20,2.51,38.58,1.34,1.97,2421.06191
248,15.76,0.98,3.32,43.93,0.53,2.19,2830.237615
249,13.89,1.51,3.07,39.89,0.46,1.74,1884.420119
250,14.25,1.34,3.15,55.66,1.09,2.23,2421.873468
251,6.68,0.24,3.93,26.20,0.70,2.14,228.4217017
252,13.84,1.49,3.08,52.98,1.07,2.12,2417.34814
253,11.66,1.23,3.16,41.27,0.86,1.84,1484.675726
254,10.41,0.94,2.74,40.45,0.21,1.28,1135.753353
255,12.77,0.85,3.64,53.14,0.73,2.24,1983.040131
256,18.84,2.43,3.28,61.24,1.51,2.37,4000.196995
257,12.56,1.50,3.67,44.06,0.89,2.11,1871.857486
258,18.12,1.68,2.92,69.68,1.32,2.19,1919.339826
259,13.24,1.24,3.09,30.13,1.62,2.10,948.0475721
260,10.30,0.50,3.78,15.61,0.48,2.10,92.92396953
261,12.35,0.91,2.80,35.57,0.28,1.69,1151.302877
262,15.32,1.30,2.14,41.65,1.06,1.42,2581.338011
263,18.59,1.98,1.91,56.49,0.92,1.57,4428.59736
264,16.02,1.18,2.41,46.45,0.98,1.75,3220.398936
265,21.74,1.89,2.71,52.49,2.71,2.84,8554.267033
266,14.73,1.37,3.32,39.74,0.64,1.89,2128.352601
267,17.24,1.89,1.94,60.78,0.52,1.18,2990.910033
268,11.41,0.77,3.68,46.48,1.12,2.17,1665.094059
269,16.25,1.49,2.84,35.52,0.96,1.76,2137.623337
270,11.47,1.23,3.74,67.19,1.04,2.30,885.3588434
271,12.68,1.02,3.52,37.33,0.64,2.03,1386.08845
272,15.07,0.99,3.27,47.99,1.15,2.47,2886.853973
273,15.22,1.40,3.24,55.21,0.96,1.94,2794.562575
274,10.92,1.05,3.48,59.51,0.52,1.84,1254.610117
275,17.49,1.20,2.20,22.34,1.06,1.37,717.0724475
276,9.93,0.88,3.39,45.77,0.00,1.87,1232.207107
277,12.53,1.30,2.78,55.54,1.08,2.26,1896.812571
278,5.40,0.64,4.45,72.01,-0.26,2.08,216.6025466
279,17.27,1.50,2.59,46.97,1.51,2.12,4069.598107
280,21.57,2.52,3.21,30.83,1.40,2.08,3389.884727
281,10.63,1.46,3.14,20.64,-0.09,1.28,200.0112283
282,14.90,0.75,2.26,37.08,1.07,1.65,1917.240836
283,12.14,1.13,4.70,62.07,0.68,2.66,1334.19131
284,15.66,1.68,2.22,53.52,0.77,1.59,3060.43377
285,14.20,1.58,3.16,68.35,0.47,1.94,1155.445208
286,15.43,1.50,2.08,54.60,0.95,1.34,2922.31426
287,10.30,1.16,4.09,64.46,-0.13,1.95,838.5846772
288,9.74,1.00,4.09,71.35,-0.21,2.01,435.6692543
289,19.22,1.48,2.72,51.81,1.68,2.20,5514.4537
290,17.22,1.98,1.61,69.30,1.54,1.42,1790.510739
291,11.35,1.33,3.13,49.24,0.44,1.88,1641.150852
292,15.46,1.73,3.14,57.40,0.81,2.04,2708.867883
293,14.21,1.54,2.64,68.61,1.08,1.90,1180.067784
294,17.78,1.53,2.48,43.15,2.32,2.39,4255.810191
295,11.55,1.33,3.26,53.70,1.03,2.39,1710.903836
296,17.27,1.92,3.05,41.00,1.26,2.15,3435.245984
297,11.31,0.58,3.75,42.39,1.03,2.43,1462.620038
298,16.36,1.68,3.47,36.42,1.33,2.63,2376.807968
299,18.51,1.65,2.06,52.81,1.48,1.64,4877.945092
300,12.91,1.21,2.75,66.05,1.29,2.01,1208.416645
301,17.29,1.96,2.85,45.41,1.39,1.96,3988.667404
302,15.88,1.35,2.87,64.63,1.47,2.31,2075.829714
303,16.57,1.77,3.08,36.59,1.53,2.31,2516.667008
304,14.08,1.24,3.44,49.67,0.40,1.60,2414.365099
305,16.25,1.77,3.73,56.55,0.94,2.23,3150.207691
306,14.50,1.25,2.74,47.95,0.94,1.67,2643.836476
307,11.58,0.99,3.74,77.44,0.89,2.60,310.6441531
308,16.15,1.15,2.51,65.51,1.26,2.17,1986.970082
309,17.12,1.70,2.55,49.69,1.67,2.12,4138.096324
310,18.95,1.64,1.74,49.67,1.75,1.68,5395.870335
311,15.51,1.09,3.11,42.08,0.91,2.00,2651.050874
312,18.70,2.48,2.31,71.17,1.70,2.38,1907.525216
313,18.00,0.96,3.33,23.60,1.64,2.58,931.6569751
314,13.50,1.00,3.64,37.02,1.02,2.18,1571.388395
315,17.84,1.77,2.69,57.20,1.48,2.07,4025.243033
316,14.50,1.52,2.48,62.60,0.67,1.49,1833.785421
317,11.79,1.28,3.33,52.69,0.20,1.58,1692.087487
318,14.24,1.48,3.45,28.59,0.86,1.93,902.2542202
319,14.11,1.55,3.57,62.81,0.62,1.85,1707.514494
320,13.89,1.16,2.32,46.07,0.91,1.56,2347.515303
321,14.41,1.27,2.79,34.10,1.58,1.94,1545.288125
322,16.05,2.17,3.17,24.66,0.29,1.56,751.8381761
323,11.83,0.87,3.01,62.72,0.65,1.93,1219.730158
324,11.59,0.97,3.39,26.32,0.95,2.19,484.8913752
325,15.45,2.05,3.54,67.43,0.86,2.25,1551.234102
326,10.78,1.42,4.09,72.67,0.25,2.09,463.4529962
327,11.90,1.14,2.95,51.46,1.14,2.00,1851.625496
328,12.83,0.78,3.60,67.51,1.24,2.59,1049.501723
329,16.87,1.49,2.62,52.99,1.04,1.89,3714.094273
330,16.49,1.47,2.39,53.66,1.80,2.16,3677.500662
331,17.40,2.08,2.69,42.81,1.38,2.32,3791.765964
332,11.36,1.15,3.89,57.70,0.06,1.95,1393.560622
333,18.57,1.76,3.10,55.76,0.91,2.06,4476.516378
334,15.11,1.28,3.40,44.40,0.56,2.06,2637.446124
335,10.33,0.89,4.15,58.37,0.12,1.87,1169.387201
336,15.58,1.31,3.07,43.25,1.06,2.03,2831.764298
337,14.86,1.41,2.54,56.44,1.35,1.95,2640.726139
338,15.93,1.20,2.03,53.25,1.69,1.91,3366.79641
339,13.86,0.91,3.14,69.91,1.20,2.48,991.4108157
340,21.01,2.12,3.05,13.10,1.94,2.08,331.1917235
341,15.56,1.17,2.58,43.94,1.36,2.13,2931.622468
342,16.60,1.10,3.07,30.53,1.82,2.48,1602.810318
343,14.46,1.71,2.82,53.33,0.98,2.02,2626.880655
344,15.90,1.36,2.99,24.26,0.48,1.64,695.2904395
345,11.78,1.10,4.63,65.95,0.57,2.69,981.2025504
346,21.24,1.79,1.69,36.05,1.86,1.83,4852.336353
347,15.35,1.01,2.14,71.78,1.53,2.15,1055.789933
348,13.10,1.23,3.35,45.16,0.39,1.81,1989.676816
349,18.71,2.16,2.72,42.30,1.50,2.14,4541.778397
350,9.70,0.76,2.92,49.44,0.45,1.73,1277.574598
351,8.68,0.81,3.28,55.40,0.00,1.58,1002.715061
352,13.54,0.74,3.20,51.43,0.63,1.96,2232.638859
353,17.40,1.46,2.58,51.60,1.51,2.25,4200.647903
354,12.85,1.14,3.12,57.06,1.29,2.18,1920.147295
355,17.16,1.45,2.30,49.83,1.31,1.92,4025.599043
356,11.63,1.01,3.14,49.04,0.64,2.10,1717.698564
357,12.31,1.08,3.05,35.00,0.82,1.89,1150.935217
358,14.98,1.32,3.41,40.79,0.87,2.14,2347.126512
359,15.99,1.03,3.72,50.02,1.10,2.46,3314.886306
360,18.07,2.06,3.19,56.56,1.22,2.29,4202.396801
361,11.51,1.33,3.74,62.76,0.14,2.02,1135.712826
362,15.14,1.13,3.20,47.41,0.91,2.12,2863.759723
363,14.89,1.38,2.93,38.66,1.59,2.11,2209.578311
364,15.05,1.33,2.33,49.80,0.53,1.37,2807.468756
365,18.52,1.56,2.37,32.46,1.85,1.94,2522.042149
366,15.82,1.52,1.96,55.30,1.14,1.74,3086.993618
367,16.70,1.53,2.99,36.69,1.75,2.41,2600.797833
368,14.90,1.55,2.86,70.09,1.22,1.97,1154.550316
369,13.55,1.08,2.84,63.98,0.26,1.67,1412.738363
370,9.70,0.32,3.33,20.79,0.90,1.96,185.5056428
371,12.64,1.15,3.42,17.37,1.06,2.02,180.3642312
372,19.32,2.26,1.75,32.14,2.25,1.82,2892.803365
373,12.62,1.26,3.44,69.53,1.11,2.42,863.8668593
374,17.51,1.69,2.19,65.64,1.75,2.15,2515.090119
375,11.66,1.13,3.38,35.07,0.44,1.82,1026.954753
376,16.11,1.22,3.18,38.25,1.44,2.26,2532.570553
377,20.06,1.94,3.44,48.17,1.20,2.50,6086.016575
378,16.53,1.45,2.57,51.47,0.96,1.89,3570.013009
379,13.36,0.83,2.28,41.64,0.61,1.39,1864.614968
380,15.13,1.16,3.52,33.62,1.00,2.17,1581.662627
381,17.78,1.77,2.02,40.36,2.08,1.71,3794.042248
382,20.73,1.96,3.04,71.68,1.15,2.18,2297.209744
383,18.93,1.88,3.01,37.64,1.32,2.00,3702.403565
384,13.45,1.31,1.74,79.53,1.22,1.82,319.3486444
385,15.98,2.05,3.70,47.41,0.63,2.02,3246.648912
386,19.84,2.03,3.38,30.67,1.49,2.29,2587.554653
387,14.61,1.20,2.77,34.97,0.62,1.37,1579.321127
388,18.61,1.79,2.02,55.20,1.75,1.96,4853.699105
389,13.66,1.15,3.18,47.23,0.66,1.70,2271.081018
390,12.94,1.35,3.06,56.18,0.80,1.92,1940.197811
391,15.43,2.03,3.18,59.20,0.52,1.72,2489.530092
392,14.73,1.18,3.13,38.56,1.44,2.13,2113.557542
393,19.35,1.62,2.11,18.59,1.88,1.74,604.5408267
394,18.04,1.99,2.65,36.92,1.80,2.43,3244.821811
395,16.11,1.44,2.20,42.23,0.72,1.31,2895.323929
396,10.92,1.43,3.39,74.40,0.50,1.81,399.9687918
397,18.32,1.85,2.60,17.80,1.63,1.84,460.0337542
398,18.25,1.62,3.02,23.09,1.39,2.02,908.0323404
399,14.00,1.69,3.64,60.33,0.92,2.48,1967.566757
400,16.54,1.56,3.73,57.99,1.21,2.55,3171.430189
401,16.97,1.43,2.44,53.38,1.39,2.17,3839.251307
402,15.54,1.76,2.27,51.90,1.47,1.92,3233.854847
403,15.72,1.24,3.13,56.95,0.93,2.25,2841.218122
404,12.04,0.87,3.05,63.83,0.81,2.00,1187.663511
405,12.49,0.98,3.30,42.89,0.56,1.78,1721.07242
406,12.03,0.82,2.96,75.84,1.04,2.31,405.2857224
407,18.05,1.94,2.57,53.36,1.17,2.04,4475.020243
408,13.57,1.08,3.31,58.10,0.29,1.79,1907.811551
409,20.78,2.31,2.52,52.74,1.05,1.98,6679.678087
410,15.49,1.66,3.09,47.30,0.63,1.87,2987.360229
411,15.58,1.61,3.11,69.18,0.96,2.15,1357.955626
412,8.77,0.87,2.92,53.78,0.09,1.55,1059.175133
413,12.13,1.01,3.27,63.22,0.20,1.93,1199.797639
414,14.40,1.68,2.99,33.64,0.82,1.82,1431.744472
415,13.03,1.09,2.15,76.97,0.56,1.63,397.3768297
416,20.51,2.44,2.40,51.68,1.01,1.58,6506.601998
417,17.01,1.25,3.59,31.26,1.05,2.08,1724.181056
418,15.43,1.23,1.80,30.23,1.87,1.94,1332.426639
419,16.85,1.20,2.73,40.08,1.41,2.02,3076.942099
420,16.98,1.21,2.56,39.26,1.47,1.97,3026.137273
421,13.46,1.69,2.84,47.74,0.66,1.67,2254.69144
422,13.72,1.10,3.19,41.60,0.40,1.60,1945.517294
423,13.46,1.33,3.51,34.31,0.80,1.81,1298.713721
424,16.40,1.39,2.52,61.87,1.32,1.82,2616.210571
425,17.96,1.56,3.17,58.01,1.51,2.55,3966.636065
426,16.51,1.31,2.61,30.50,1.27,1.82,1528.360445
427,7.45,0.18,2.52,49.15,0.80,1.85,933.4669777
428,13.36,1.27,3.13,26.97,0.77,1.75,666.0859272
429,14.16,1.50,2.86,35.57,0.73,1.73,1565.035799
430,14.18,1.42,3.49,49.23,0.69,2.06,2510.49685
431,17.96,1.66,2.71,56.94,1.52,2.35,4126.923581
432,11.54,0.58,4.35,70.31,0.07,2.49,627.8431141
433,15.41,1.64,3.33,78.08,0.96,2.51,506.6965083
434,17.13,1.79,3.04,26.11,0.90,1.73,1067.477332
435,19.18,1.69,3.47,33.43,0.98,2.04,2824.576169
