Sample,Por,LogPerm,AI,Brittle,TOC,VR,Production,Prod2Scaled
45,18.12,1.57,2.92,59.13,1.35,2.24,3841.64321,4984.393408
46,15.88,1.66,3.41,57.20,0.68,2.06,2862.10162,3856.508532
47,13.84,1.23,3.07,38.37,1.33,2.22,1829.05814,2727.044638
48,15.10,1.46,3.32,84.17,0.97,2.22,203.1434107,1768.434803
49,13.97,1.06,3.28,52.06,0.95,1.97,2435.143521,3194.586644
50,14.39,1.18,3.04,25.38,1.45,1.99,679.3660304,1986.460816
51,21.00,1.94,2.32,58.72,1.14,1.84,5870.549942,6997.121912
52,15.79,1.31,2.18,54.50,0.93,1.41,3064.860477,3989.356361
53,10.66,1.30,3.68,68.09,1.38,2.52,753.2658793,1358.103306
54,15.53,1.19,1.92,44.57,1.10,1.48,2915.495228,3832.234879
55,13.49,1.38,2.56,52.76,1.42,2.01,2355.165207,3048.470598
56,11.80,1.16,3.43,93.39,0.25,1.90,23.27379484,1031.877866
57,10.10,0.36,3.60,38.75,0.08,1.89,977.1241751,1420.444716
58,12.89,1.12,2.96,43.09,0.71,1.90,1862.412859,2578.458639
59,15.94,1.26,2.65,31.60,1.76,2.02,1602.512677,2946.672196
60,18.79,1.88,3.35,36.03,1.73,2.24,3394.83831,4779.814141
61,14.80,1.57,3.93,57.05,0.31,2.32,2396.736054,3318.862765
62,12.38,0.79,3.96,78.95,0.19,2.27,271.5543005,1320.958032
63,10.27,0.79,3.33,49.05,0.73,2.25,1414.64051,1771.793074
64,14.22,0.99,2.66,29.89,1.16,2.02,1024.964113,2208.386004
65,14.76,1.09,3.07,48.28,0.34,1.81,2620.978391,3475.649221
66,12.77,0.98,3.75,55.11,0.41,2.36,1876.074031,2567.140697
67,12.94,1.32,3.94,57.12,0.39,2.21,1830.195003,2563.767892
68,17.72,1.66,1.39,36.25,2.15,1.93,3022.514331,4310.586699
69,13.66,0.64,3.20,61.53,0.60,2.12,1672.257011,2579.27025
70,12.87,0.89,2.72,52.21,0.64,1.81,2024.243018,2693.13725
71,14.60,1.28,3.29,55.24,0.80,2.24,2516.231896,3369.347811
72,15.64,1.26,3.25,51.26,0.98,2.30,3135.019039,4012.371589
73,14.92,1.83,2.80,49.06,1.00,1.78,2887.052155,3700.285177
74,16.39,1.25,2.59,54.21,1.75,2.30,3555.742737,4458.734292
75,14.09,1.15,2.95,45.10,0.93,1.91,2373.247992,3172.72839
76,13.60,1.34,2.72,65.56,0.80,1.84,1337.161679,2322.915704
77,13.41,1.68,3.25,61.06,0.49,1.77,1692.362778,2549.658768
78,17.18,1.36,2.95,60.23,1.89,2.46,3303.177594,4417.555677
79,13.49,0.85,2.57,38.37,1.24,2.06,1711.01725,2577.454197
80,18.49,1.68,2.93,30.18,1.13,2.07,1973.661172,3685.493305
81,13.46,1.17,2.92,56.97,0.89,1.97,2045.667047,2817.681055
82,20.52,1.64,2.36,30.58,2.14,2.31,2932.566097,4757.456866
83,15.96,1.64,3.24,58.07,1.22,2.22,2922.134713,3916.481695
84,16.69,1.46,3.09,64.31,1.20,2.17,2339.460352,3622.83189
85,20.25,2.47,2.51,34.93,1.04,1.67,3760.126283,5314.13023
86,18.80,2.31,2.57,51.96,1.63,2.09,5293.169249,6171.872866
87,20.23,1.68,2.17,60.08,1.81,2.16,5164.078629,6339.112157
88,16.80,1.49,2.94,33.29,1.38,2.15,2030.685607,3416.407877
89,16.59,1.54,2.56,33.49,1.18,1.84,1977.577029,3339.872761
90,16.34,1.55,3.10,49.21,1.01,1.95,3510.127171,4415.328106
91,17.41,1.28,2.90,20.37,1.43,2.12,562.7536605,2453.306819
92,17.04,1.76,3.04,51.72,0.79,2.08,3820.902194,4771.63081
93,14.17,1.62,2.33,76.95,0.94,2.00,489.2412341,1807.822418
94,10.88,0.98,3.40,67.99,0.60,2.01,735.2219765,1385.078123
95,13.92,1.10,2.48,32.28,0.80,1.53,1179.765544,2266.907958
96,13.45,1.35,3.37,77.02,0.46,2.03,418.7773612,1623.660192
97,18.03,1.97,2.43,59.24,1.65,1.67,3903.963034,5013.841596
98,16.53,1.46,2.09,56.93,1.12,1.95,3254.612211,4263.66026
99,12.26,0.67,2.76,69.90,0.37,1.78,739.7280834,1641.718726
100,12.85,1.11,4.50,69.82,0.20,2.54,811.3686826,1801.544918
101,18.31,2.10,2.82,40.04,1.72,2.27,3969.947752,5113.26042
102,16.79,1.92,3.36,59.23,0.93,2.24,3100.979317,4198.773913
103,9.87,1.17,3.41,75.55,0.38,2.08,296.5137108,878.9512661
104,12.07,0.65,3.83,50.43,0.24,1.93,1761.793957,2354.976675
105,13.87,1.53,2.76,59.46,0.30,1.59,1911.348967,2792.607296
106,18.33,2.19,3.16,42.78,0.86,1.82,4176.786718,5268.031086
107,13.37,1.07,3.61,39.07,0.96,2.10,1722.206916,2564.375769
108,13.78,1.33,2.54,43.76,0.43,1.22,2128.845154,2937.00507
109,14.60,1.35,2.21,72.28,0.96,1.73,873.473856,2166.706445
110,9.20,0.68,2.91,47.79,0.34,1.55,1165.558805,1392.405517
111,10.71,0.59,2.86,46.15,0.86,2.02,1464.571466,1888.915086
112,16.55,1.42,2.62,76.03,1.15,2.00,774.582415,2451.053046
113,23.85,2.57,1.21,34.00,2.39,1.34,2.71353485,3223.076101
114,17.62,1.79,2.74,61.75,1.41,2.14,3188.882991,4414.831969
115,19.98,2.14,3.09,46.55,1.84,2.37,6215.259287,7063.170894
116,19.39,1.76,2.73,36.73,1.44,2.10,3770.340881,5164.471553
117,19.38,1.67,2.18,49.64,1.72,2.00,5726.952322,6594.522862
118,11.86,0.94,4.13,65.22,0.32,2.28,1021.84392,1774.586161
119,16.99,1.56,3.06,29.86,0.86,1.61,1510.613559,3071.359461
120,14.83,1.68,2.78,42.27,0.82,1.80,2447.385065,3361.867574
121,13.73,1.01,4.37,86.28,0.52,2.69,113.6731695,1451.667513
122,18.26,1.52,3.21,31.53,1.04,2.15,2124.206372,3752.731127
123,15.81,1.52,2.47,57.97,1.60,2.17,2937.416162,3899.248047
124,11.99,1.23,3.86,29.76,0.33,2.01,699.0347214,1561.832166
125,14.52,1.29,3.39,34.97,1.17,2.03,1623.177748,2700.993902
126,11.39,1.11,3.39,58.45,0.37,2.01,1389.166744,1957.407337
127,11.93,1.22,2.70,34.35,0.63,1.44,1031.528536,1794.328219
128,16.41,1.42,2.75,48.19,1.14,1.80,3541.343025,4450.956757
129,14.76,1.07,3.38,49.63,0.73,1.89,2710.215938,3540.395479
130,14.18,1.64,3.79,55.69,0.98,2.44,2399.872701,3208.430322
131,13.64,1.53,3.40,37.02,0.77,1.74,1598.53106,2523.091599
132,12.73,1.33,2.36,55.95,1.19,1.74,1947.91304,2610.808012
133,10.25,1.40,3.59,52.02,0.39,1.83,1390.007239,1749.507285
134,13.25,1.57,3.46,65.91,0.80,1.98,1249.05983,2194.684983
135,20.54,2.06,2.80,47.15,1.71,2.18,6704.042101,7522.237383
136,11.47,1.14,3.35,69.35,0.64,1.97,717.1732553,1480.131133
137,12.16,0.76,4.22,45.38,1.38,2.82,1849.433674,2435.142201
138,18.16,2.03,2.74,36.43,1.62,1.95,3166.875607,4496.881081
139,9.20,0.85,3.65,62.92,-0.25,1.79,775.5167498,1107.186714
140,8.73,0.61,3.40,46.11,-0.06,1.54,1033.239493,1210.776225
141,13.50,1.44,3.48,47.55,0.63,1.98,2242.55319,2968.257963
142,15.70,1.68,2.59,72.90,1.08,1.83,976.1567657,2444.433863
143,16.00,1.39,2.93,36.56,0.75,1.91,2166.210818,3369.8809
144,20.18,1.98,2.48,69.95,1.29,2.03,2529.45737,4400.276781
145,9.24,0.72,2.63,48.40,0.49,1.43,1192.60491,1420.051107
146,15.02,1.94,3.58,42.68,0.83,2.13,2570.867294,3486.36816
147,12.58,0.97,3.33,66.00,0.06,1.66,1052.009316,1929.170391
148,9.81,0.26,3.59,79.18,0.80,2.59,187.5932287,789.0588355
149,9.97,1.04,3.18,54.66,0.23,1.78,1255.203934,1599.705771
150,16.35,1.39,3.25,49.33,1.24,2.37,3561.992347,4456.558175
151,15.70,1.56,2.17,66.75,1.03,1.68,1692.298469,2967.186884
152,17.06,1.51,2.92,35.49,1.32,2.08,2457.93636,3777.022774
153,14.20,1.21,3.92,51.71,0.83,2.41,2514.658931,3295.24925
154,15.87,1.43,2.72,59.24,1.27,2.09,2748.229444,3772.911143
155,6.48,0.39,3.68,81.87,-0.14,1.87,75.21518841,97.62915882
156,14.24,1.51,3.47,43.31,0.71,2.21,2299.227895,3145.449042
157,13.31,1.17,2.53,67.55,0.67,1.59,1089.161058,2088.863724
158,17.20,1.87,2.75,44.12,1.18,2.00,3749.779943,4747.869615
159,10.51,1.27,3.48,74.89,0.28,1.92,349.2156477,1034.461132
160,17.96,1.82,2.40,44.88,1.71,2.15,4417.313562,5375.568015
161,19.86,1.92,2.14,77.04,0.40,1.25,1057.261254,3263.944179
162,14.90,0.88,2.59,36.20,1.65,2.14,1901.478612,2974.527523
163,17.65,2.06,2.63,62.70,1.40,2.02,3060.551966,4327.390769
164,17.73,1.62,2.54,40.61,1.79,2.09,3711.825183,4817.789172
165,19.16,1.87,1.76,35.96,1.53,1.51,3514.686822,4936.140642
166,17.49,1.66,2.78,52.07,1.42,2.15,4235.93405,5156.751055
167,16.18,1.77,2.65,35.03,1.04,1.61,2075.186478,3335.372421
168,9.79,0.91,3.24,50.67,0.55,1.92,1309.706537,1607.064694
169,14.78,1.18,2.37,61.85,1.40,1.94,2077.485573,3081.868926
170,22.14,2.37,2.21,37.26,1.88,2.16,6047.418084,7334.210534
171,14.76,1.21,2.35,50.28,1.51,1.92,2877.826882,3663.842137
172,16.30,1.19,2.12,84.58,1.94,2.55,240.4175328,2015.857443
173,14.60,1.17,1.87,42.98,1.28,1.51,2469.385807,3334.840219
174,17.52,1.35,3.28,40.74,1.23,2.29,3453.41305,4590.256739
175,17.92,1.94,2.81,39.43,1.70,2.08,3627.386253,4791.339175
176,12.54,1.14,3.93,54.03,0.24,2.16,1841.531373,2498.899612
177,15.52,1.01,3.71,70.25,0.94,2.46,1199.92321,2574.637445
178,12.89,1.26,3.21,56.19,0.95,2.11,1942.217302,2636.443945
179,13.86,1.25,2.16,62.95,1.05,1.92,1670.35701,2614.50306
180,16.90,1.88,3.19,53.89,1.24,2.23,3776.938,4713.842634
181,14.18,1.18,3.27,74.31,0.89,2.14,656.7312917,1932.28084
182,11.62,1.29,3.56,51.21,0.33,1.95,1687.082897,2216.83779
183,14.27,1.70,2.58,47.10,0.81,1.57,2540.090807,3327.245579
184,15.67,1.32,3.17,53.23,0.84,1.92,3062.554203,3965.557529
185,18.36,1.75,2.18,41.26,1.82,1.97,4199.645598,5290.23806
186,15.63,1.48,3.42,38.13,1.13,2.04,2316.175338,3411.488394
187,15.47,1.67,2.35,74.76,0.94,1.74,763.5762415,2245.678532
188,8.80,0.95,3.67,87.54,0.36,2.28,44.86173807,499.1155266
189,16.35,1.67,3.20,44.50,0.84,2.01,3258.499533,4233.728311
190,17.40,1.65,1.88,27.97,0.46,0.90,1301.371449,2993.664373
191,17.19,1.70,2.61,35.62,1.17,1.91,2512.142529,3840.391216
192,15.94,1.64,2.14,42.74,0.63,1.03,2871.031676,3874.557667
193,10.04,0.74,3.17,74.96,0.98,2.09,335.5072968,939.6520279
194,11.78,1.21,3.30,36.60,0.75,2.01,1182.1746,1877.334973
195,14.57,1.41,3.38,58.86,0.36,1.88,2171.845022,3112.999116
196,13.53,1.16,2.67,34.50,0.71,1.32,1316.344579,2296.006313
197,12.22,1.36,3.09,71.08,0.86,2.03,695.3550023,1600.589839
198,12.86,1.31,3.20,50.36,0.04,1.63,1980.419721,2658.755309
199,14.69,1.36,2.24,25.28,0.68,1.25,667.1649929,2032.311196
200,13.79,1.66,3.71,62.70,0.75,2.45,1663.048306,2597.139898
201,13.71,1.20,2.71,49.11,0.92,1.93,2371.173406,3100.852717
202,11.61,1.21,3.89,52.33,0.34,2.03,1666.69035,2199.980599
203,13.44,1.32,2.87,36.37,0.27,1.36,1431.226494,2362.926381
204,13.43,1.13,3.44,51.75,0.95,2.00,2266.329436,2972.501432
205,11.38,1.16,2.26,45.25,0.45,1.48,1561.547308,2081.807444
206,16.65,1.74,2.74,47.34,1.14,1.77,3670.540401,4590.703063
207,15.82,1.22,1.81,48.74,0.87,1.29,3190.473373,4087.010742
208,19.08,1.84,2.73,49.56,1.38,2.24,5385.471703,6291.026106
209,13.37,0.92,2.69,42.26,1.02,1.74,1970.96811,2744.912571
210,11.88,0.89,3.05,43.18,0.53,1.54,1584.40259,2189.582252
211,10.29,1.05,3.60,41.11,-0.23,1.60,1114.521963,1554.26778
212,12.57,1.31,3.64,48.90,0.90,1.99,2014.695492,2630.347925
213,17.06,1.46,2.69,27.81,2.09,2.23,1363.090297,2976.836275
214,9.66,0.96,3.49,83.63,0.36,2.09,95.73161459,693.5022019
215,14.38,1.38,2.95,60.16,1.49,2.28,2159.999174,3068.463245
216,11.44,1.06,2.84,44.67,1.10,2.06,1623.866681,2138.826715
217,9.78,0.57,3.72,77.40,0.16,2.31,226.8756334,812.6704049
218,14.95,1.49,2.59,47.49,1.31,1.94,2899.042852,3714.466845
219,9.60,0.40,3.33,52.08,0.89,2.10,1274.832382,1545.717733
220,20.83,2.19,2.57,82.77,1.96,2.43,625.4011115,3125.618397
221,14.00,1.48,2.59,58.35,0.95,1.67,2134.004514,2980.978026
222,14.27,1.63,3.11,74.31,0.65,1.98,661.2821043,1950.761503
223,16.53,1.39,2.52,28.62,1.13,1.60,1276.611559,2816.538631
224,17.62,1.69,2.19,33.65,1.47,1.79,2377.95034,3821.897848
225,21.89,1.66,1.86,39.58,1.69,2.03,6385.367076,7536.710477
226,13.34,0.83,2.56,29.32,1.12,1.76,850.6860597,1920.245707
227,16.29,1.60,3.20,38.23,0.87,1.86,2520.03697,3681.47635
228,13.44,1.20,2.98,86.55,0.84,2.32,107.1789675,1393.405516
229,17.21,1.41,2.05,55.24,1.88,2.15,3965.301822,4908.837896
230,16.89,1.52,2.61,44.91,1.63,1.96,3746.541679,4690.03779
231,15.56,1.99,2.78,49.86,1.26,1.89,3241.932141,4076.70405
232,17.33,1.94,2.58,69.48,1.70,2.10,1807.059354,3350.418258
233,17.68,2.38,3.71,64.66,1.20,2.56,2706.939706,4073.882637
234,15.46,1.37,2.91,52.28,1.14,2.13,3077.843796,3939.1257
235,16.64,1.61,2.97,47.64,1.22,2.07,3686.358119,4600.670953
236,11.75,1.08,3.48,42.64,0.86,2.26,1573.669557,2157.77798
237,12.59,1.08,3.36,29.74,0.42,1.68,761.6109414,1718.045134
238,14.78,1.55,3.89,63.01,0.65,2.51,1862.921224,2925.363177
239,13.74,1.90,3.42,61.13,0.72,2.10,1807.722558,2694.011607
240,12.24,1.25,3.44,55.10,0.80,2.31,1801.423645,2415.226049
241,13.22,1.35,2.28,54.15,1.23,1.88,2187.046818,2876.406474
242,15.98,1.34,3.35,28.91,1.38,2.31,1233.205123,2683.183329
243,14.64,1.69,2.99,72.94,0.82,2.10,820.1150495,2134.959254
244,11.81,0.80,3.09,55.35,0.62,1.91,1642.41151,2220.394507
245,9.99,0.95,2.98,44.30,0.89,1.80,1284.692443,1625.32082
246,15.71,1.71,3.01,40.42,0.60,1.64,2540.858746,3590.868172
247,15.72,1.20,2.51,38.58,1.34,1.97,2421.06191,3505.668919
248,15.76,0.98,3.32,43.93,0.53,2.19,2830.237615,3812.717284
249,13.89,1.51,3.07,39.89,0.46,1.74,1884.420119,2778.322946
250,14.25,1.34,3.15,55.66,1.09,2.23,2421.873468,3236.180885
251,6.68,0.24,3.93,26.20,0.70,2.14,228.4217017,246.0078892
252,13.84,1.49,3.08,52.98,1.07,2.12,2417.34814,3158.858067
253,11.66,1.23,3.16,41.27,0.86,1.84,1484.675726,2077.444092
254,10.41,0.94,2.74,40.45,0.21,1.28,1135.753353,1593.085115
255,12.77,0.85,3.64,53.14,0.73,2.24,1983.040131,2644.321779
256,18.84,2.43,3.28,61.24,1.51,2.37,4000.196995,5231.675834
257,12.56,1.50,3.67,44.06,0.89,2.11,1871.857486,2525.372773
258,18.12,1.68,2.92,69.68,1.32,2.19,1919.339826,3576.328266
259,13.24,1.24,3.09,30.13,1.62,2.10,948.0475721,1973.443806
260,10.30,0.50,3.78,15.61,0.48,2.10,92.92396953,809.6101551
261,12.35,0.91,2.80,35.57,0.28,1.69,1151.302877,1958.228918
262,15.32,1.30,2.14,41.65,1.06,1.42,2581.338011,3548.785255
263,18.59,1.98,1.91,56.49,0.92,1.57,4428.59736,5499.331342
264,16.02,1.18,2.41,46.45,0.98,1.75,3220.398936,4144.635846
265,21.74,1.89,2.71,52.49,2.71,2.84,8554.267033,9097.211192
266,14.73,1.37,3.32,39.74,0.64,1.89,2128.352601,3110.530915
267,17.24,1.89,1.94,60.78,0.52,1.18,2990.910033,4201.217735
268,11.41,0.77,3.68,46.48,1.12,2.17,1665.094059,2162.370234
269,16.25,1.49,2.84,35.52,0.96,1.76,2137.623337,3394.038484
270,11.47,1.23,3.74,67.19,1.04,2.30,885.3588434,1602.330012
271,12.68,1.02,3.52,37.33,0.64,2.03,1386.08845,2191.936824
272,15.07,0.99,3.27,47.99,1.15,2.47,2886.853973,3726.506187
273,15.22,1.40,3.24,55.21,0.96,1.94,2794.562575,3687.13966
274,10.92,1.05,3.48,59.51,0.52,1.84,1254.610117,1772.81573
275,17.49,1.20,2.20,22.34,1.06,1.37,717.0724475,2581.937979
276,9.93,0.88,3.39,45.77,0.00,1.87,1232.207107,1574.816326
277,12.53,1.30,2.78,55.54,1.08,2.26,1896.812571,2536.887804
278,5.40,0.64,4.45,72.01,-0.26,2.08,216.6025466,2.71353485
279,17.27,1.50,2.59,46.97,1.51,2.12,4069.598107,4996.154836
280,21.57,2.52,3.21,30.83,1.40,2.08,3389.884727,5285.827253
281,10.63,1.46,3.14,20.64,-0.09,1.28,200.0112283,948.5773039
282,14.90,0.75,2.26,37.08,1.07,1.65,1917.240836,2985.709978
283,12.14,1.13,4.70,62.07,0.68,2.66,1334.19131,2054.559448
284,15.66,1.68,2.22,53.52,0.77,1.59,3060.43377,3962.214799
285,14.20,1.58,3.16,68.35,0.47,1.94,1155.445208,2300.364307
286,15.43,1.50,2.08,54.60,0.95,1.34,2922.31426,3818.328654
287,10.30,1.16,4.09,64.46,-0.13,1.95,838.5846772,1354.900295
288,9.74,1.00,4.09,71.35,-0.21,2.01,435.6692543,956.8163175
289,19.22,1.48,2.72,51.81,1.68,2.20,5514.4537,6410.242493
290,17.22,1.98,1.61,69.30,1.54,1.42,1790.510739,3318.872624
291,11.35,1.33,3.13,49.24,0.44,1.88,1641.150852,2134.071714
292,15.46,1.73,3.14,57.40,0.81,2.04,2708.867883,3667.664068
293,14.21,1.54,2.64,68.61,1.08,1.90,1180.067784,2320.492537
294,17.78,1.53,2.48,43.15,2.32,2.39,4255.810191,5224.988903
295,11.55,1.33,3.26,53.70,1.03,2.39,1710.903836,2222.544312
296,17.27,1.92,3.05,41.00,1.26,2.15,3435.245984,4532.036273
297,11.31,0.58,3.75,42.39,1.03,2.43,1462.620038,1996.602594
298,16.36,1.68,3.47,36.42,1.33,2.63,2376.807968,3590.711024
299,18.51,1.65,2.06,52.81,1.48,1.64,4877.945092,5813.461684
300,12.91,1.21,2.75,66.05,1.29,2.01,1208.416645,2103.342438
301,17.29,1.96,2.85,45.41,1.39,1.96,3988.667404,4939.228285
302,15.88,1.35,2.87,64.63,1.47,2.31,2075.829714,3282.321264
303,16.57,1.77,3.08,36.59,1.53,2.31,2516.667008,3731.348856
304,14.08,1.24,3.44,49.67,0.40,1.60,2414.365099,3199.691821
305,16.25,1.77,3.73,56.55,0.94,2.23,3150.207691,4135.470242
306,14.50,1.25,2.74,47.95,0.94,1.67,2643.836476,3445.903333
307,11.58,0.99,3.74,77.44,0.89,2.60,310.6441531,1201.774693
308,16.15,1.15,2.51,65.51,1.26,2.17,1986.970082,3265.867854
309,17.12,1.70,2.55,49.69,1.67,2.12,4138.096324,5018.701614
310,18.95,1.64,1.74,49.67,1.75,1.68,5395.870335,6274.546384
311,15.51,1.09,3.11,42.08,0.91,2.00,2651.050874,3635.39656
312,18.70,2.48,2.31,71.17,1.70,2.38,1907.525216,3674.665058
313,18.00,0.96,3.33,23.60,1.64,2.58,931.6569751,2831.56481
314,13.50,1.00,3.64,37.02,1.02,2.18,1571.388395,2477.640649
315,17.84,1.77,2.69,57.20,1.48,2.07,4025.243033,5067.513815
316,14.50,1.52,2.48,62.60,0.67,1.49,1833.785421,2851.978191
317,11.79,1.28,3.33,52.69,0.20,1.58,1692.087487,2253.068654
318,14.24,1.48,3.45,28.59,0.86,1.93,902.2542202,2122.021616
319,14.11,1.55,3.57,62.81,0.62,1.85,1707.514494,2687.310949
320,13.89,1.16,2.32,46.07,0.91,1.56,2347.515303,3116.341015
321,14.41,1.27,2.79,34.10,1.58,1.94,1545.288125,2623.797814
322,16.05,2.17,3.17,24.66,0.29,1.56,751.8381761,2344.264499
323,11.83,0.87,3.01,62.72,0.65,1.93,1219.730158,1914.296691
324,11.59,0.97,3.39,26.32,0.95,2.19,484.8913752,1331.918364
325,15.45,2.05,3.54,67.43,0.86,2.25,1551.234102,2818.581897
326,10.78,1.42,4.09,72.67,0.25,2.09,463.4529962,1168.253836
327,11.90,1.14,2.95,51.46,1.14,2.00,1851.625496,2389.892881
328,12.83,0.78,3.60,67.51,1.24,2.59,1049.501723,1971.659365
329,16.87,1.49,2.62,52.99,1.04,1.89,3714.094273,4661.627522
330,16.49,1.47,2.39,53.66,1.80,2.16,3677.500662,4565.55112
331,17.40,2.08,2.69,42.81,1.38,2.32,3791.765964,4816.810773
332,11.36,1.15,3.89,57.70,0.06,1.95,1393.560622,1955.970535
333,18.57,1.76,3.10,55.76,0.91,2.06,4476.516378,5531.542516
334,15.11,1.28,3.40,44.40,0.56,2.06,2637.446124,3552.007087
335,10.33,0.89,4.15,58.37,0.12,1.87,1169.387201,1602.646559
336,15.58,1.31,3.07,43.25,1.06,2.03,2831.764298,3779.560431
337,14.86,1.41,2.54,56.44,1.35,1.95,2640.726139,3509.009156
338,15.93,1.20,2.03,53.25,1.69,1.91,3366.79641,4236.591783
339,13.86,0.91,3.14,69.91,1.20,2.48,991.4108157,2117.779434
340,21.01,2.12,3.05,13.10,1.94,2.08,331.1917235,2943.79451
341,15.56,1.17,2.58,43.94,1.36,2.13,2931.622468,3848.755665
342,16.60,1.10,3.07,30.53,1.82,2.48,1602.810318,3066.477041
343,14.46,1.71,2.82,53.33,0.98,2.02,2626.880655,3425.362607
344,15.90,1.36,2.99,24.26,0.48,1.64,695.2904395,2274.736347
345,11.78,1.10,4.63,65.95,0.57,2.69,981.2025504,1730.996812
346,21.24,1.79,1.69,36.05,1.86,1.83,4852.336353,6294.624123
347,15.35,1.01,2.14,71.78,1.53,2.15,1055.789933,2438.855502
348,13.10,1.23,3.35,45.16,0.39,1.81,1989.676816,2710.358237
349,18.71,2.16,2.72,42.30,1.50,2.14,4541.778397,5605.420348
350,9.70,0.76,2.92,49.44,0.45,1.73,1277.574598,1565.979539
351,8.68,0.81,3.28,55.40,0.00,1.58,1002.715061,1178.224992
352,13.54,0.74,3.20,51.43,0.63,1.96,2232.638859,2968.949086
353,17.40,1.46,2.58,51.60,1.51,2.25,4200.647903,5114.546644
354,12.85,1.14,3.12,57.06,1.29,2.18,1920.147295,2612.564202
355,17.16,1.45,2.30,49.83,1.31,1.92,4025.599043,4943.41199
356,11.63,1.01,3.14,49.04,0.64,2.10,1717.698564,2242.367389
357,12.31,1.08,3.05,35.00,0.82,1.89,1150.935217,1951.769417
358,14.98,1.32,3.41,40.79,0.87,2.14,2347.126512,3316.548156
359,15.99,1.03,3.72,50.02,1.10,2.46,3314.886306,4208.056749
360,18.07,2.06,3.19,56.56,1.22,2.29,4202.396801,5238.983688
361,11.51,1.33,3.74,62.76,0.14,2.02,1135.712826,1794.618377
362,15.14,1.13,3.20,47.41,0.91,2.12,2863.759723,3723.886702
363,14.89,1.38,2.93,38.66,1.59,2.11,2209.578311,3198.960448
364,15.05,1.33,2.33,49.80,0.53,1.37,2807.468756,3665.127515
365,18.52,1.56,2.37,32.46,1.85,1.94,2522.042149,4090.815038
366,15.82,1.52,1.96,55.30,1.14,1.74,3086.993618,4011.290615
367,16.70,1.53,2.99,36.69,1.75,2.41,2600.797833,3815.96602
